Item name,Billed Qty,Product MRP,Sales Unit,Product Cost (without tax),Product Tax %,Profit Margin,Cumulative Profit Margin,,,,,Unique Items,Cumulative Profit Margin Unique,,SORTED Unique Items,Profit Margin Unique SORTED,,Cumulative Profit Margin,Cumulative Profit Margin Unique %,Cumulative Profit Margin Unique % SUM,Category,,,,
UDILIV 300MG,300,694.19,15,502.46,5,3332.14,3332.14,,,,,UDILIV 300MG,5221.407333,,FACE MASK (4.50) 3 PLY,11234.309,0.58%,"11,234.31",0.58%,0.58%,A,,,,
RELIPOIETIN 4000IU PFS INJ,4,1056,1,200,12,3328,6660.14,,,,,RELIPOIETIN 4000IU PFS INJ,7717.12,,PAN 40MG,10960.12757,1.15%,"22,194.44",0.57%,1.15%,A,,,,
MAGNEX FORTE 1.5GM INJ,8,729.06,1,380.56,12,2422.6624,9082.8024,,,,,MAGNEX FORTE 1.5GM INJ,4337.14,,UNDERPAD,9277.21184,1.63%,"31,471.65",0.48%,1.63%,A,,,,
RYZODEG FLEXTOUCH 3ML,10,1450,1,1160,5,2320,11402.8024,,,,,RYZODEG FLEXTOUCH 3ML,2905.8,,ORS L APPLE  DRINK 200ML,9187.6512,2.11%,"40,659.30",0.48%,2.11%,A,,,,
DARGEN 40 INJ,2,2506.8,1,1339.29,12,2013.5904,13416.3928,,,,,DARGEN 40 INJ,9061.1568,,DARGEN 40 INJ,9061.1568,2.58%,"49,720.46",0.47%,2.58%,A,,,,
KARVOL PLUS,720,83.75,10,50.51,12,1956.8736,15373.2664,,,,,KARVOL PLUS,4234.70356,,DOLO 650MG,8166.511707,3.00%,"57,886.97",0.42%,3.00%,A,,,,
ENTEHEP 0.5MG,1,2730.4,1,1000,5,1680.4,17053.6664,,,,,ENTEHEP 0.5MG,4828.4,,RELIPOIETIN 4000IU PFS INJ,7717.12,3.40%,"65,604.09",0.40%,3.40%,A,,,,
ENTEHEP 0.5MG,1,2730.4,1,1000,5,1680.4,18734.0664,,,,,JANUMET 50/500MG 15'S,7037.728,,MONTEK LC,7305.20832,3.78%,"72,909.30",0.38%,3.78%,A,,,,
RELIPOIETIN 4000IU PFS INJ,2,1056,1,200,12,1664,20398.0664,,,,,SPORIGEL 100MG,1557.6704,,AUGMENTIN 625MG,7126.15032,4.15%,"80,035.45",0.37%,4.15%,A,,,SUM CUMULATIVE TOTAL,1930131.577
JANUMET 50/500MG 15'S,20,345,1,234.11,12,1655.936,22054.0024,,,,,CETAPHIL RESTORADERM BODY MOISTURISER 295ML,1540.7826,,JANUMET 50/500MG 15'S,7037.728,4.51%,"87,073.17",0.36%,4.51%,A,,,,
SPORIGEL 100MG,40,531,5,300.26,12,1557.6704,23611.6728,,,,,ZITEN M 20/1000MG,2134.356,,RENERVE PLUS,7024.628053,4.88%,"94,097.80",0.36%,4.88%,A,,,,
CETAPHIL RESTORADERM BODY MOISTURISER 295ML,3,2140,1,1378.31,18,1540.7826,25152.4554,,,,,LMWX 40MG INJ,2998.865,,BLOOD PRESSURE MONITOR {OMRON},6786.88,5.23%,"100,884.68",0.35%,5.23%,A,,,,
ENTEHEP 0.5MG,1,2465.1,1,950,5,1467.6,26620.0554,,,,,XIGDUO 5MG/1000MG 14'S,2289.84,,ORS L ORANGE DRINK 200ML,6212.3328,5.55%,"107,097.02",0.32%,5.55%,A,,,,
ZITEN M 20/1000MG,300,288.5,15,195.77,12,1384.752,28004.8074,,,,,VYMADA 100MG 14'S,5252.9184,,VINTOR 4000 INJ,5875.8976,5.85%,"112,972.91",0.30%,5.85%,A,,,,
LMWX 40MG INJ,8,427.79,1,256.5,5,1267.72,29272.5274,,,,,VOGLINORM GM 1MG,1670.1248,,EPOFIT4000IU/1.0ML INJ,5518.4,6.14%,"118,491.31",0.29%,6.14%,A,,,,
XIGDUO 5MG/1000MG 14'S,16,329,1,223.25,12,1263.36,30535.8874,,,,,EPOFIT4000IU/1.0ML INJ,5518.4,,VYMADA 100MG 14'S,5252.9184,6.41%,"123,744.23",0.27%,6.41%,A,,,,
